"fee_id","amount","status","due_date"
"b6b6ed72-f751-43c5-9b90-e4df14d0980e","16566",,"1996-11-03T17:54:57.340"
"f7256581-d9a1-4ce4-8d81-aefa4538c00c","16973",,"2047-11-04T18:52:03.424"
"fc1efa81-bf51-42d0-b86c-a0dfc72bbf0b","18887",,"2071-09-10T00:48:39.112"
"9af50f68-1603-4500-bd5a-d66dcaa73741","15026",,"2011-06-16T14:14:08.034"
"85d9d640-87f2-4098-9863-6004b681d186","12573",,"2016-10-08T18:43:14.621"
"8c5111c0-21d8-4843-99eb-d1f7414efa48","8481",,"2054-05-22T10:31:13.439"
"18b28996-f4c7-4f53-b734-dd81c32faec6","9603",,"2087-05-30T21:52:36.734"
"b4936cf2-9585-4dd5-a6ed-889cf49d9fc5","7304",,"2051-11-25T05:57:25.212"
"2e8c0983-b785-4a4f-b832-19a8c8cdf3a1","17908",,"1996-08-02T12:51:32.489"
"9d54810e-3f7e-4586-8f43-f33c58beeb47","1155",,"2095-01-23T03:09:43.390"
"d200b220-ed66-4429-b966-542096ce8846","19448",,"2087-12-31T23:05:21.028"
"09bdd822-3d9c-404b-a0d0-b53a5ae25dc9","9900",,"2066-03-26T04:55:27.218"
"9582f011-7a92-401a-a873-6e424fac7f02","18931",,"2037-12-24T14:15:06.911"
"c1a6b83e-c946-48c1-a3da-d3be9ad1adca","3608",,"2052-03-19T01:32:49.559"
"e98f708e-d804-4974-9d54-cd185d370972","4455",,"2006-06-05T15:14:28.924"
"02be8987-56ad-4a2e-8bbe-57ef890c9ec2","4015",,"2033-12-27T05:39:23.409"
"cd466bc0-6f78-4d29-bf24-f6084f33a2a2","15895",,"2063-06-01T10:43:14.764"
"56242b26-9a1d-4829-af63-8a6d67733c81","8162",,"2047-11-14T13:46:01.035"
"5f9b81df-da86-4c8a-a837-75518eaac65d","4972",,"2049-01-16T11:56:23.606"
"2a32c5df-605f-4221-808a-ab86cf9bf2d0","14080",,"2025-11-29T09:18:04.317"
"59eb83c1-b53b-43df-838e-a5627162e576","18964",,"2098-10-21T16:42:54.225"
"04285977-1b3b-4ac4-8b08-51596f8c0e98","3685",,"2054-07-02T23:20:41.630"
"6d8c7fc2-1082-4a11-b2c7-7964aa1ddfa8","9526",,"1993-10-27T21:44:39.772"
"b25a58ea-95aa-4746-bfc0-06757bd6d5dc","18348",,"2086-10-02T12:07:41.059"
"2f470653-650a-44b2-9bd6-87f8126db3b0","13860",,"2098-11-15T14:43:10.235"
"4ed6110f-466f-41a8-b3b2-6310d63c9dd8","9119",,"2038-07-04T20:05:16.832"
"e7b82b31-c9e5-499b-a682-39b208c326f8","2431",,"2013-03-15T06:48:06.625"
"76e34831-a51b-4d53-b2d1-e1a83d6143a6","13464",,"2057-09-27T00:31:14.139"
"254f7106-f32b-4b14-a9d2-f9ec1a31a47b","14718",,"2054-08-11T14:50:18.215"
"9c94d706-54dc-43c2-84be-7efccb7ed944","12276",,"2084-02-12T18:15:31.597"
"0e9cdb59-c643-442e-9cbc-8dbdd6ef70bf","14696",,"2034-02-14T00:21:56.739"
"5775af94-10c9-46aa-b324-9089f10bbefb","4235",,"2033-03-08T14:57:24.530"
"d4b40e4e-48e6-475a-8e8e-60693cfd7c3f","12276",,"2026-09-23T22:00:50.642"
"dd2a13e8-84ed-4800-b02f-1da1cb79c021","16324",,"2059-04-08T08:42:08.370"
"5904c402-4835-4a29-b3d9-2292cc60a6fc","4411",,"2070-06-01T04:15:07.149"
"897bd9a4-c1a9-4db5-9e9f-7ac1d3e1079a","7898",,"2082-02-07T02:14:04.215"
"4fa4a295-9521-4bfa-bddb-13b1d1818d09","5918",,"2090-03-17T01:07:50.416"
"a0e4eb3c-6a2e-48bb-86ec-647ddc3e7c18","15609",,"1997-04-16T06:13:15.570"
"d1635dcf-2a22-4ab3-b310-e987079ffe65","1507",,"2045-01-27T23:49:08.326"
"890b0b1d-8607-4e5b-9bff-f2ee98724296","11704",,"2072-06-07T17:46:46.854"
"417039cc-ddb8-4789-b445-c714e1526b2a","14113",,"2099-10-20T19:31:27.751"
"2f6b55ad-bbf2-4279-bd63-a134c2853242","15246",,"2042-11-25T19:08:02.320"
"44374761-0ccd-4cd4-8ff3-bbe5ed4dfb01","16093",,"2028-09-16T16:44:02.150"
"3d8259db-13fd-4f45-a37f-ed0cf2e36a86","11770",,"2092-10-03T17:19:44.667"
"bd9e59c9-c2d1-4d4c-a94e-364950f0a931","10120",,"2089-09-23T07:37:16.432"
"1d8d4e11-3a3a-413c-b2ff-ccc871d10254","10219",,"1993-12-11T23:53:55.065"
"f5ea2a6f-8a76-44a2-ae42-b64876a79a08","10439",,"2024-12-29T16:35:03.502"
"5452101c-0769-426e-b032-1882a263a23b","9339",,"2085-08-30T13:46:36.363"
"e94b7816-1a9b-48c2-8cef-4e2da5eff8e9","17281",,"2053-12-18T08:17:49.966"
"006c5f41-9fcf-48c9-b73d-43ef412dd22e","3311",,"2094-02-17T22:39:28.085"
"4ae54c66-7054-44ff-a9d1-a1566445307e","11770",,"2067-08-08T17:44:17.036"
"ff285c26-ff88-4c76-89c2-d24be22932f9","19888",,"2000-05-09T12:29:24.342"
"b2b32f0d-a258-4d3b-857c-be372b0da338","17754",,"2083-04-15T01:07:47.296"
"b4a1b7b2-1230-4408-a110-2603238a6a1b","6204",,"2099-08-08T18:07:48.339"
"a6156ce8-e937-411c-ad01-3c947ecabd77","2145",,"2056-01-24T07:32:33.457"
"d138cb11-079a-4eb9-aae0-613bb829ae8a","6435",,"2009-12-03T06:35:45.897"
"c19bb4f6-d605-49f5-8505-8cce38351e22","18634",,"2040-12-14T11:10:55.031"
"a460a37e-a91f-4e65-93dc-12c2c9553786","17446",,"2050-07-31T10:00:35.914"
"ae32c795-ab56-4487-9ca8-09a242d5ebf9","18997",,"2006-03-12T00:56:01.910"
"3221cf26-bdb4-450b-af4c-5949761810c1","15422",,"2005-06-24T18:58:16.837"
"39732b6c-0046-45d8-bdc5-769ee4d99ae4","9493",,"1991-03-11T16:30:49.127"
"f4e0c14f-107a-4910-981c-15e05125e4d7","2156",,"1993-05-08T06:59:47.510"
"0e9c923f-c68b-4004-98e2-066b0b03a953","1639",,"2062-10-13T04:06:44.271"
"48dff3c3-f43e-44a2-abf0-dcdbba55c828","9306",,"2043-08-13T19:46:30.766"
"eae5e8aa-8780-41fe-9133-ed37ba3f31c2","6149",,"2060-03-29T12:17:26.558"
"15c6f07d-876f-4b20-8a59-200dbabef738","13079",,"2048-04-21T11:09:32.690"
"26416b85-770d-4f93-9347-3a0d62492090","1672",,"2073-11-27T20:36:46.697"
"96b98d8d-1585-40bf-8eaf-1dc247a2075f","2739",,"1993-12-28T10:30:33.868"
"2aa0a96b-69f1-405d-af18-ad780d591b4d","18513",,"2053-10-05T19:41:52.936"
"7973711e-efd6-41aa-9c12-f98221f19f6a","1419",,"2061-06-30T16:18:06.007"
"75d0cc7c-e78f-4b29-a025-2b465a7464ed","19877",,"2034-07-28T05:04:03.560"
"b39f3560-a7e6-40e3-bc73-c7be46acd6dd","9944",,"2084-11-20T18:24:46.165"
"7c56bbb8-55f3-4517-9cfc-ad3b72ee1e08","10472",,"2028-01-09T03:13:21.939"
"da7d4529-ebea-4db7-8a29-b57cf8cc85ef","1540",,"2000-01-13T20:43:09.725"
"55579b70-d4dd-43a3-b24b-409972d058de","16027",,"1998-11-11T20:43:45.277"
"7bdadf11-7c87-4103-94ae-ae513068cbe3","4543",,"2075-08-09T06:43:40.672"
"7959a3ae-da52-4e36-bdac-3809954d164d","19448",,"2026-11-12T23:45:18.218"
"45cdbfe1-ba69-4efb-abe6-927c936c7950","13948",,"1998-12-27T03:22:45.243"
"81597c02-c554-4f11-9954-c7f85804a6a3","2783",,"2042-11-18T14:48:10.087"
"6d3087ae-e4c1-44ec-baf7-23cc647fe54e","5258",,"2009-02-01T19:45:03.885"
"c79d7b93-d5bb-44f5-b3a7-c402e8ae9c83","4554",,"2029-12-12T05:19:37.563"
"c10e7048-f25a-44d5-a9e0-0cd181a7164e","9405",,"2057-04-28T07:15:06.303"
"87da69f0-d4c8-4400-a1f6-c3ceaa598b0d","15466",,"2082-04-02T22:09:19.632"
"e6068dc9-9ae4-468b-8a37-cc7ef671cd5b","14916",,"2072-04-24T21:13:32.576"
"c65cb977-e609-438e-989a-b1d2d0dc0402","16247",,"2094-12-19T14:13:26.226"
"6c173caa-c52c-4334-a2b1-34439a415808","13970",,"2021-02-22T00:46:23.271"
"38d89d73-abb3-42da-8ba6-97f3bae5ebe8","8657",,"2094-08-16T04:47:03.752"
"02e1572c-4f1a-4203-beb7-0ce5efc2596f","15587",,"2056-07-02T02:50:51.750"
"36558abe-019b-4a6e-ab1a-3cb6bca4c783","5720",,"2084-11-09T22:03:33.000"
"a17bf0b0-f161-47fb-b31f-e14361c2d4c2","4664",,"2078-12-20T20:31:11.447"
"1ceeb4eb-17ca-4dfd-b149-f0b6734042dc","10384",,"2029-05-20T23:17:24.188"
"d6c0ff43-5c4a-4c47-97f1-ef1b3c3c0332","12298",,"2012-01-21T23:01:05.150"
"0b7965c8-4021-4a96-83fb-b13823bc300e","19272",,"1998-09-30T16:25:16.347"
"149191cb-d036-4ac2-9bc2-0e62e7778e37","19954",,"2031-02-12T13:12:52.191"
"e499aa6f-4255-4bb0-85e0-8d63e6d1fa41","17688",,"2006-01-26T04:51:49.469"
"4ff09140-6fd6-4874-9d29-a8556a45ed08","13244",,"2049-05-22T08:54:53.403"
"48ff89da-f417-4769-b9c5-34868e93d44c","2134",,"2051-12-28T18:25:58.361"
"ac4f7ce0-439e-4a88-b7e2-8a3c93ae492c","7942",,"2035-12-13T02:03:56.926"
"dfa68f79-c407-4c7f-ac4b-3d549de730d1","15004",,"2006-03-24T04:48:49.837"
